OBJECTID,ZO_ZONE,ZO_ORDINANCE,ZO_SPEC_CODE,ZO_PROJ_NUM,ZO_UPDATE_NUM,ZO_ZONE_DATE,ZO_ZONE_ORD,ZO_UPD_DATE,agstype,SHAPE_Length,SHAPE_Area,ZO_MAINT_TASK_ID,ZO_GIS_START_DATE,ZO_GIS_END_DATE
306,PDGI,1972,28,ZMAP-1987-0012, ,1988-07-18T00:00:00.000Z,PDGI  1972,1900-01-01T00:00:00.000Z,PDGI,1693.40568682702,165956.424097646, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
307,PDGI,1993 R,,ZMAP-2004-0011, ,2005-04-05T00:00:00.000Z,PDGI  1993,2017-09-13T00:00:00.000Z,PDGI,8558.53785414637,3002554.28151447, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
308,PDGI,1993,NV,ZMAP-1992-0007, ,1993-06-16T00:00:00.000Z,PDGI  1993,1900-01-01T00:00:00.000Z,PDGI,949.955960983925,51272.5333709559, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
309,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,4308.83784126581,855410.97055879, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
310,PDGI,1993 R,,ZMAP-1986-0012, ,1987-09-21T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,10700.441000061,4823795.10738743, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
311,PDGI,1993 R,, ,,1900-01-01T00:00:00.000Z,PDGI  1993,2015-05-13T00:00:00.000Z,PDGI,9408.39710833947,4255597.52763071, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
312,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,4816.28193050376,870271.576988359, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
313,PDGI,1993 R,,ZMAP-1991-0005,Z2000-0056,1993-03-03T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,3565.30924668884,278372.400980353, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
314,PDGI,1993 R,,ZMAP-2003-0010, ,2003-12-02T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,1225.80793978095,94202.8934664844, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
315,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2018-02-07T00:00:00.000Z,PDGI,4108.43310009045,949592.46279662, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
316,PDGI,1993 R,28,ZMAP-2006-0009,0,2007-02-20T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,1154.06000951587,81140.2875154137, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
317,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2017-11-16T00:00:00.000Z,PDGI,10331.9447763671,3640684.22681091, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
318,PDGI,1993 R,, ,00032,1900-01-01T00:00:00.000Z,PDGI  1993,2016-05-23T00:00:00.000Z,PDGI,3110.27336519195,522075.614252624, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
319,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,773.774845033846,22336.2352800174, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
320,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2018-02-07T00:00:00.000Z,PDGI,5591.23578066933,1140398.29834174, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
321,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2018-02-07T00:00:00.000Z,PDGI,3804.811995181,636039.436633054, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
322,PDGI,1993 R,NV,ZMAP-2009-0005,177,2010-04-20T00:00:00.000Z,PDGI  1993,2015-02-09T00:00:00.000Z,PDGI,15713.418708325,4326710.84989057, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
323,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2018-10-01T00:00:00.000Z,PDGI,16984.1546779981,9298838.67664636, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
324,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2015-04-13T00:00:00.000Z,PDGI,2389.42863826293,261832.811976972, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
325,PDGI,1993,28, ,1,1900-01-01T00:00:00.000Z,PDGI  1993,2009-01-07T00:00:00.000Z,PDGI,1880.65016173457,201352.939104371, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
326,PDGI,1972,NV, , ,1900-01-01T00:00:00.000Z,PDGI  1972,2017-09-14T00:00:00.000Z,PDGI,27363.2570074395,9453762.51214362, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
327,PDGI,1993 R,28,ZRTD-2011-0012, ,2012-05-08T00:00:00.000Z,PDGI  93 R,2013-01-11T00:00:00.000Z,PDGI,973.63104036859,53105.3175019077, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
328,PDGI,1993 R,NONE,ZMAP-2009-0003,194,2011-01-04T00:00:00.000Z,PDGI  1993,2015-05-13T00:00:00.000Z,PDGI,10862.4543355275,2361734.96924907, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
329,PDGI,1972,NV,ZMAP-1986-0019, ,1987-09-21T00:00:00.000Z,PDGI  1972,2015-06-12T00:00:00.000Z,PDGI,8434.28992664523,2893383.15726479, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
330,PDGI,1993 R,NV, , ,1900-01-01T00:00:00.000Z,PDGI  1972,2012-04-16T00:00:00.000Z,PDGI,190.661374364233,52.6639536679525, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
331,PDGI,1993 R,,ZMAP-1999-0004,Z2001-0015,2001-06-04T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,1658.96443405694,140074.947260218, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
332,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,20145.3116584286,12023488.5129131, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
333,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,1926.96240096957,198684.73860475, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
334,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,1587.78623537137,698.718266548181, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
335,PDGI,1993 R,, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2012-04-16T00:00:00.000Z,PDGI,2337.60250609738,350167.994513342, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
336,PDGI,1972,NV,ZMAP-1986-0022, ,1987-10-19T00:00:00.000Z,PDGI  1972,1900-01-01T00:00:00.000Z,PDGI,11376.9835283363,3388923.0162911, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
337,PDGI,1993 R,28,ZRTD-2013-0002, ,2013-09-11T00:00:00.000Z,PDGI  93 R,2013-12-26T00:00:00.000Z,PDGI,1329.20986503078,105731.440436544, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
338,PDGI,1972,NV,ZMAP-1986-0022, ,1987-10-19T00:00:00.000Z,PDGI  1972,1900-01-01T00:00:00.000Z,PDGI,152.973510695133,9.01422661410353, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
339,PDGI,1972,NV,ZMAP-1986-0022, ,1987-10-19T00:00:00.000Z,PDGI  1972,1900-01-01T00:00:00.000Z,PDGI,270.670230336617,102.288219305985, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
340,PDGI,1993 R,28,ZRTD-2012-0004, ,2012-10-09T00:00:00.000Z,PDGI  93 R,2013-01-11T00:00:00.000Z,PDGI,1557.31082127871,138431.733283522, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
341,PDGI,1993 R,NV, , ,1900-01-01T00:00:00.000Z,PDGI  1993,2018-12-28T00:00:00.000Z,PDGI,1078.81554398739,54248.7915092274, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
342,PDGI,1972,NV, , ,1900-01-01T00:00:00.000Z,PDGI  1972,1900-01-01T00:00:00.000Z,PDGI,15.9020707689583,2.49666099289277, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
343,PDGI,1993 R,NV,ZRTD-2012-0008, ,2014-12-03T00:00:00.000Z,PDGI  93R,2015-06-12T00:00:00.000Z,PDGI,1469.35576421575,123124.989305703, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
344,PDGI,1993 R,NV,ZMAP-1979-0285,00009,1979-09-19T00:00:00.000Z,NO VALUE,2015-12-03T00:00:00.000Z,PDGI,6476.86421263501,1473247.19453965, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
345,PDGI, ,NV,NO VALUE,NO VALUE,1900-01-02T00:00:00.000Z,NO VALUE,1902-01-01T00:00:00.000Z,PDGI,297.935433758856,49.2100069303469, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
346,PDGI,1993 R,NV,ZMAP-2012-0011,NO VALUE,2015-02-18T00:00:00.000Z,PDGI  R93,2015-06-12T00:00:00.000Z,PDGI,3802.76242102328,667184.655815434, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
347,PDGI,1993 R,28,ZRTD-2015-0007,,2016-09-14T00:00:00.000Z,PDGI 93R,2016-10-31T00:00:00.000Z,PDGI,2489.55686186713,330384.279298738, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
348,PDGI,1993 R,28,ZRTD-2016-0008,NO VALUE,2017-03-15T00:00:00.000Z,PDGI 93R,2017-03-16T00:00:00.000Z,PDGI,1152.50912691168,83763.7569617869, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
349,PDGI,1993 R,NV,ZRTD-2017-0003,NO VALUE,2017-09-13T00:00:00.000Z,PDGI 1993R,2017-09-14T00:00:00.000Z,PDGI,2082.0516378757,244307.700966149, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
350,PDGI,1993 R,28,ZRTD-2016-0009,,2017-12-13T00:00:00.000Z,PDGI R93,2017-12-14T00:00:00.000Z,PDGI,1290.03764049058,105863.422317401, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
351,PDGI,1993 R,NONE,ZMAP-2017-0004,NO VALUE,2018-02-06T00:00:00.000Z,PDGI 93R,2018-02-07T00:00:00.000Z,PDGI,6005.29513293983,1904125.76238896, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
352,PDGI,1993 R,NV,ZRTD-2017-0004,NO VALUE,2018-05-17T00:00:00.000Z,PDGI 93R,2018-05-22T00:00:00.000Z,PDGI,3849.80091127054,686978.582489882, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
353,PDGI,1993 R,NV,NO VALUE,NO VALUE,1900-01-02T00:00:00.000Z,PDGI 93R,2019-01-24T00:00:00.000Z,PDGI,41571.2909594381,70107552.246682, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
354,PDGI,1993 R,NV,NO VALUE,NO VALUE,1900-01-02T00:00:00.000Z,PDGI 93R,2019-01-24T00:00:00.000Z,PDGI,2681.94263429079,270215.076045032, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
355,PDH3,1993 R,,ZMAP-2004-0001, ,2005-03-15T00:00:00.000Z,PDH3  1993,2017-10-04T00:00:00.000Z,PDH3,7150.4321526271,2057838.35915759, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
356,PDH3,1993 R,,ZMAP-2001-0007, ,2002-03-04T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,11218.094507163,4428228.16348562, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
357,PDH3,1993 R,,ZMAP-1989-0004,Z2000-0037,1900-01-01T00:00:00.000Z,PDH3  1993,2015-02-09T00:00:00.000Z,PDH3,73228.2558404511,58189104.5664424, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
358,PDH3,1993 R,,ZMAP-1996-0011, ,1998-03-18T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,10609.5009882081,7047421.04196186, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
359,PDH3,1993 R,,ZMAP-1989-0015, ,1993-05-19T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,22684.1455247995,26499966.6875655, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
360,PDH3,1993 R,NV,ZMAP-1984-0009, ,1984-11-05T00:00:00.000Z,PDH3  1972,2012-04-16T00:00:00.000Z,PDH3,21.0304795069644,19.9839240024375, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
361,PDH3,1993 R,,ZMAP-1994-0001,Z2001-0001,1995-08-02T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,20063.7155691551,10041265.840749, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
362,PDH3,1993 R,,ZMAP-1989-0045, ,1994-12-21T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,11874.8743548016,4781260.99796978, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
363,PDH3,1972,NV,ZMAP-1984-0009, ,1984-11-05T00:00:00.000Z,PDH3  1972,1900-01-01T00:00:00.000Z,PDH3,40101.7969151697,53622697.4439329, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
364,PDH3,1993 R,NV,ZMAP-1998-0008,Z2000-0047,1999-11-03T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,3855.82170072952,364964.764049506, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
365,PDH3,1993 R,, , ,1900-01-01T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,24212.4449442592,24277597.0156067, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
366,PDH3,1972,,ZMAP-1984-0015, ,1985-07-17T00:00:00.000Z,PDH3  1972,1900-01-01T00:00:00.000Z,PDH3,2261.40732450813,329657.250412413, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
367,PDH3,1993 R,, , ,1900-01-01T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,3642.63162384072,206801.936279515, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
368,PDH3,1993 R,,ZMAP-2004-0006, ,2004-06-15T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,14729.7055153483,6768945.93890239, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
369,PDH3,1993 R,NV,ZMAP-2005-0004, ,2006-07-18T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,8940.49331712443,4548300.71887496, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
370,PDH3,1993 R,,ZMAP-1986-0055, ,1989-10-17T00:00:00.000Z,PDH3  1993,2018-02-15T00:00:00.000Z,PDH3,13006.0013106829,4499202.19993879, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
371,PDH3,1993 R,, , ,1900-01-01T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,42785.6971436218,37798539.2417672, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
372,PDH3,1993 R,,ZMAP-1987-0015, ,1987-07-20T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,4376.63274292548,906159.017079817, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
373,PDH3,1993 R,, , ,1900-01-01T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,1360.21336975358,40387.8236295212, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
374,PDH3,1993 R,,ZMAP-2002-0019, ,2003-12-15T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,6779.83342574041,2253440.8870483, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
375,PDH3,1993 R,,, ,1900-01-01T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,5725.09955879028,1580143.37452838, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
376,PDH3,1993 R,,ZMAP-1976-0244, ,1977-12-05T00:00:00.000Z,PDH3  1993,2016-09-27T00:00:00.000Z,PDH3,16436.9197116421,12820999.4399685, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
377,PDH3,1993 R,NV, , ,1900-01-01T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,22688.9093989865,24409730.9075909, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
378,PDH3,1993 R,,ZMAP-2004-0022,,2005-07-05T00:00:00.000Z,PDH3  1993,2015-03-27T00:00:00.000Z,PDH3,16367.7030046401,9818397.52663869, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
379,PDH3,1993 R,,ZMAP-1994-0001,Z2001-0001,1995-08-02T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,7860.06314529381,2683981.84866329, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
380,PDH3,1993 R,,ZMAP-1986-0047, ,1988-05-16T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,13982.2551659688,11474469.8709253, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
381,PDH3,1993 R,,ZMAP-2005-0013,,2006-09-05T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,18596.9924091063,10587510.5521036, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
382,PDH3,1993 R,,ZMAP-2002-0001, ,2005-12-06T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,8771.22746265521,4642245.12626876, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
383,PDH3,1993 R,,ZMAP-2002-0001, ,2005-12-06T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,11226.1872423212,2820772.46213583, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
384,PDH3,1993 R,,ZMAP-2005-0001, ,2006-03-21T00:00:00.000Z,PDH3  1993,2016-09-13T00:00:00.000Z,PDH3,26873.966310589,20288543.6226225, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
385,PDH3,1972,NV,ZMAP-1984-0009, ,1984-11-05T00:00:00.000Z,PDH3  1972,1900-01-01T00:00:00.000Z,PDH3,105.480079954552,3.79681998008516, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
386,PDH3,1993 R,NV,ZMAP-1984-0009, ,1984-11-05T00:00:00.000Z,PDH3  1972,2012-04-16T00:00:00.000Z,PDH3,2150.73212910831,108359.156830828, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
387,PDH3,1972,28,ZMAP-1984-0009, ,1984-11-05T00:00:00.000Z,PDH3  1972,1900-01-01T00:00:00.000Z,PDH3,9885.47389242862,1323007.04000811, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
388,PDH3,1972,NV,ZMAP-1984-0009, ,1984-11-05T00:00:00.000Z,PDH3  1972,1900-01-01T00:00:00.000Z,PDH3,7.89206677491023,0.38259000445515, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
389,PDH3,1993 R,NV,ZMAP-1998-0008,Z2000-0047,1999-11-03T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,3720.50383914436,6239.28766584849, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
390,PDH3,1993 R,NV,ZMAP-2005-0004, ,2006-07-18T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,2268.85273442147,17347.022086348, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
391,PDH3,1993 R,NV, , ,1900-01-01T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,12126.4394693643,311095.691016011, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
392,PDH3,1993 R,,ZMAP-1994-0001,Z2001-0001,1995-08-02T00:00:00.000Z,PDH3  1993,2018-03-26T00:00:00.000Z,PDH3,55375.298752156,51792950.2437255, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
393,PDH3,1993 R,,ZMAP-1986-0055, ,1989-10-17T00:00:00.000Z,PDH3  1993,2012-04-16T00:00:00.000Z,PDH3,35289.3895926649,37460350.1027376, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
394,PDH3,1993 R,28,ZMAP-1984-0009,NO VALUE,1984-11-05T00:00:00.000Z,PDH3 R93,2018-05-23T00:00:00.000Z,PDH3,1716.18881566457,102513.698048169, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
395,PDH3,1993 R,28,ZMAP-1984-0009,NO VALUE,1984-11-05T00:00:00.000Z,PDH3 R93,2018-05-23T00:00:00.000Z,PDH3,1918.13352032337,88528.2077958945, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
396,PDH4,1993 R,NV,ZMAP-1986-0013, ,1987-09-21T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,41.3160809758889,22.5560280315736, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
397,PDH4,1993 R,,ZMAP-1992-0001, ,1994-02-02T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,21374.0658863725,14305877.5172318, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
398,PDH4,1993 R,, , ,1900-01-01T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,4026.53639465259,336994.243200468, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
399,PDH4,1993 R,,ZMAP-1996-0003, ,1998-04-15T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,16381.4369274511,14741021.6817449, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
400,PDH4,1993 R,NV,ZMAP-1984-0007, ,1985-12-02T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,49247.7581820325,62455384.3143696, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
401,PDH4,1993 R,,ZMAP-1995-0007, ,1996-10-16T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,13119.9013379254,7069594.69123525, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
402,PDH4,1993 R,,ZMAP-1997-0008, ,1998-04-01T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,6894.74476743446,1592764.75673911, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
403,PDH4,1993 R,,ZMAP-1989-0039, ,1990-06-19T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,4620.37133164897,1211739.69816849, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
404,PDH4,1993 R,, , ,1900-01-01T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,2236.85107486093,311537.000363231, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
405,PDH4,1993 R,,ZMAP-1987-0035, ,1989-10-17T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,17085.0898374756,7064583.09575604, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
406,PDH4,1993 R,NV,ZMAP-1986-0013, ,1987-09-21T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,47606.6776220397,58441600.6453498, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
407,PDH4,1993 R,,ZMAP-1999-0012,Z2001-0014,2000-11-06T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,2088.43182314119,258774.00742709, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
408,PDH4,1993 R,,ZMAP-2004-0025,0,2007-10-16T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,3175.89704208768,579378.177737551, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
409,PDH4,1993 R,,ZMAP-1998-0013, ,2000-03-06T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,3812.20804369723,874349.24563808, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
410,PDH4,1993 R,, , ,1900-01-01T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,2158.76691685907,89602.5950426078, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
411,PDH4,1993 R,,ZMAP-1996-0002, ,1998-03-18T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,2885.69218119346,433309.25277418, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
412,PDH4,1993 R,,ZMAP-1998-0012,Z2000-0041,1999-11-17T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,3040.65348323099,441411.396467897, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
413,PDH4,1993 R,,ZMAP-0000-0326, ,1985-04-01T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,6815.80682161879,1760402.0404827, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
414,PDH4,1993 R,,ZMAP-2002-0008, ,2002-10-08T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,7788.70372058299,2625228.00614978, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
415,PDH4,1993 R,,ZMAP-1984-0001,Z2001-0007,1984-04-16T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,9041.02646156244,2710532.17921065, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
416,PDH4,1993 R,,ZMAP-2004-0014, ,2007-04-17T00:00:00.000Z,PDH4  1993,2012-04-16T00:00:00.000Z,PDH4,2391.11215979188,264251.834020747, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
